id,lowest_price,real_lowest_price
5,0,0.35
10,0,0.75
24,0,1
64,0,0.2
118,0,0.2
119,0,0.1
166,0,0.25
204,0,0.4
214,0,0.4
248,0,1.25
251,0,0.1
276,0,0.45
290,0,0.85
350,0,0.1
373,0,0.2
389,0,0.2
424,0,1
431,0,0.45
450,0,2
502,0,0.4
516,0,4
562,0,0.15
566,0,0.05
574,0,0.05
623,0,2.5
653,0,0.25
672,0,0.4
674,0,0.6
707,0,0.2
714,0,0.25
721,0,0.3
727,0,0.5
731,0,0.15
828,0,1
834,0,0.05
844,0,0.2
845,0,0.5
865,0,0.4
884,0,0.4
910,0,0.15
931,0,0.2
938,0,0.3
942,0,0.15
943,0,0.15
944,0,0.8
952,0,6
973,0,0.15
986,0,0.15
1027,0,0.75
1028,0,0.15
1030,0,0.15
1048,0,0.25
1053,0,0.9
1082,0.4,0.5
1106,0,0.15
1110,0,2
1114,0,0.15
1118,0,4
1124,0,0.15
1151,0,0.1
1154,0,1
1160,0,0.1
1164,0,0.5
1166,0,3
1189,0,0.15
1218,0,0.5
1224,0,0.2
1233,0,0.35
1236,0,0.25
1245,0,0.7
1252,0,0.3
1260,0,0.3
1271,0,1.2
1276,0,7
1282,0,0.6
1293,0,0.8
1302,0,0.2
1349,0,0.45
1363,0,0.4
1370,0,0.4
1401,0,0.4
1445,0,0.25
1461,0,0.3
1496,0,0.35
1504,0,0.3
1508,0,0.35
1510,0,0.5
1570,0,1.25
1571,0,0.9
1574,0,0.2
1575,0,1
1596,0,0.2
1597,0,0.25
1599,0,0.5
1602,0,0.2
1633,0,0.2
1636,0,1.75
1638,0,0.4
1640,0,2
1648,0,1.75
1650,0,3.5
1667,0,0.25
1676,0,0.1
1696,0,3
1703,0,0.8
1718,0,0.4
1770,0,0.1
1778,0,0.5
1779,0,0.1
1782,0,0.4
1795,0,0.35
1803,0,0.35
1804,0,0.95
1811,0,0.4
1816,0,2.35
1823,0,1.25
1827,0,1.25
1832,0,1.75
1849,0,0.3
1857,0,0.2
1879,0,0.15
1882,0,0.15
1886,0,0.4
1887,0,0.25
1896,0,0.3
1902,0,0.5
1905,0,0.4
1918,0,0.2
1922,0,0.3
1928,0,0.25
1951,0,0.1
1959,0,0.35
1966,0,0.3
1975,0,0.35
1976,0,0.4
1989,0,0.35
1994,0,0.3
2007,0,0.2
2047,0,0.35
2058,0,0.45
2061,0,0.5
2075,0,0.35
2088,0,0.5
2108,0,4
2123,0,0.35
2128,0,0.5
2134,0,0.35
2138,0,0.2
2149,0,0.2
2156,0,0.45
2168,0,0.1
2169,0,0.31
2180,0,1.25
2208,0,2
2215,0,0.2
2225,0,2
2233,0,0.25
2239,0,1.5
2247,0,2
2251,0,0.2
2252,0,0.75
2261,0,0.15
2272,0,0.75
2274,0,0.75
2282,0,2
2286,0,0.8
2289,0,1.25
2295,0,0.25
2298,0,1
2311,0,6
2320,0,0.13
2323,0,0.13
2326,0,0.13
2336,0,0.5
2339,0,0.4
2341,0,0.75
2353,0,0.1
2356,0,0.31
2396,0,0.4
2413,0,0.45
2434,0,0.5
2440,0,5
2448,0,0.1
2458,0,0.5
2462,0,0.2
2463,0,0.3
2467,0,0.3
2470,0,0.1
2477,0,0.7
2483,0,0.1
2491,0,0.05
2505,0,0.15
2537,0,0.1
2554,0,0.2
2569,0,0.1
2582,0,0.75
2596,0,1.6
2603,0,0.25
2609,0,1
2620,0,0.2
2624,0,0.2
2625,0,0.2
2637,0,0.25
2648,0,0.25
2653,0,0.15
2654,0,0.1
2666,0,0.15
2676,0,0.15
2710,0,0.2
2717,0,0.1
